 ,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,,2012,2013,2014,2015
Guinea-Bissau,177.5,171.5,165.3,159.0,152.6,146.2,139.9,133.6,127.6,121.6,115.9,110.4,,105.2,100.5,96.2,92.5
Guyana,46.7,45.6,44.8,44.0,43.4,42.8,42.4,42.1,41.9,41.7,41.5,41.4,,41.2,40.8,40.2,39.4
Haiti,104.8,101.3,98.1,95.1,92.4,90.0,87.7,85.5,83.3,81.2,208.8,77.2,,75.2,73.1,71.0,69.0
Honduras,37.4,35.8,34.2,32.7,31.3,30.0,28.8,27.6,26.5,25.4,24.4,23.5,,22.6,21.8,21.1,20.4
"Hong Kong SAR, China",..,..,..,..,..,..,..,..,..,..,..,..,,..,..,..,..
Hungary,11.2,10.5,9.8,9.2,8.7,8.3,7.9,7.5,7.2,6.8,6.6,6.4,,6.3,6.2,6.1,5.9
Iceland,4.0,3.8,3.6,3.4,3.3,3.1,2.9,2.8,2.7,2.5,2.4,2.3,,2.2,2.1,2.1,2.0
India,91.2,87.7,84.3,81.0,77.7,74.6,71.5,68.5,65.6,62.7,59.9,57.2,,54.5,52.1,49.8,47.7
Indonesia,52.3,49.8,47.6,45.4,49.3,41.4,39.6,37.9,36.2,34.7,33.1,31.7,,30.4,29.3,28.2,27.2
"Iran, Islamic Rep.",34.7,32.7,30.8,29.0,27.3,25.7,24.2,22.8,21.4,20.2,19.2,18.3,,17.5,16.8,16.1,15.5
Iraq,44.7,43.8,43.0,42.3,41.5,40.7,39.9,39.1,38.3,37.5,36.6,35.7,,34.8,33.9,32.9,32.0
Ireland,7.1,6.9,6.5,6.1,5.6,5.2,4.9,4.6,4.5,4.3,4.2,4.1,,4.0,3.8,3.7,3.6
Isle of Man,..,..,..,..,..,..,..,..,..,..,..,..,,..,..,..,..
Israel,6.9,6.6,6.4,6.1,5.8,5.6,5.3,5.1,4.9,4.7,4.6,4.4,,4.3,4.2,4.1,4.0
Italy,5.5,5.2,5.0,4.7,4.5,4.4,4.3,4.2,4.1,4.1,4.0,3.9,,3.8,3.7,3.6,3.5
Jamaica,22.0,21.4,20.9,20.4,20.0,19.7,19.5,19.2,18.9,18.5,18.1,17.6,,17.2,16.7,16.2,15.7
Japan,4.5,4.3,4.1,4.0,3.9,3.7,3.6,3.5,3.4,3.3,3.2,3.4,,3.0,2.9,2.8,2.7
Jordan,27.7,26.9,26.2,25.5,24.8,24.1,23.4,22.7,22.1,21.5,20.8,20.2,,19.6,19.0,18.5,17.9
Kazakhstan,43.6,41.2,39.0,36.8,34.7,32.5,30.3,28.1,25.9,23.7,21.6,19.6,,17.9,16.4,15.1,14.1
Kenya,107.9,104.1,99.9,95.4,90.6,85.5,80.7,76.1,70.1,65.8,62.1,58.5,,55.6,53.4,51.3,49.4
Kiribati,70.6,68.5,66.9,65.7,65.1,64.8,64.8,64.8,64.5,63.9,62.9,61.7,,60.4,58.9,57.4,55.9
"Korea, Dem. People’s Rep.",60.0,52.0,44.6,38.7,34.7,32.7,32.2,32.4,32.4,32.1,31.3,30.1,,28.7,27.4,26.1,24.9
"Korea, Rep.",6.1,6.4,6.5,6.4,6.0,5.6,5.2,4.8,4.5,4.3,4.1,4.0,,3.8,3.7,3.6,3.4
Kosovo,..,..,..,..,..,..,..,..,..,..,..,..,,..,..,..,..
Kuwait,12.7,12.5,12.3,12.1,11.9,11.7,11.6,11.5,11.3,11.1,10.8,10.3,,9.9,9.4,9.0,8.6
Kyrgyz Republic,48.7,46.4,44.4,42.5,40.8,39.3,37.9,36.3,34.4,32.3,30.0,27.8,,25.7,24.0,22.6,21.3
Lao PDR,117.7,113.4,109.2,105.1,101.1,97.2,93.5,89.8,86.2,82.8,79.7,76.7,,74.0,71.3,69.1,66.7
Latvia,17.2,16.0,15.1,14.3,13.4,12.5,11.8,11.1,10.5,9.9,9.4,9.0,,8.7,8.4,8.2,7.9
Lebanon,20.0,18.8,17.6,16.4,15.2,14.1,13.0,12.1,11.3,10.7,10.1,9.7,,9.3,8.9,8.6,8.3
Lesotho,116.8,118.6,120.4,122.0,123.0,123.4,123.2,119.3,116.5,106.5,100.7,96.8,,94.1,93.6,92.0,90.2
Liberia,181.8,169.7,157.6,145.9,134.8,124.7,115.7,107.8,100.9,94.7,89.3,84.5,,80.3,76.3,72.9,69.9
Libya,28.1,27.3,26.5,25.5,24.4,23.1,21.7,20.2,18.8,17.6,16.6,17.6,,15.1,14.5,13.9,13.4
Liechtenstein,..,..,..,..,..,..,..,..,..,..,..,..,,..,..,..,..
Lithuania,11.8,11.3,10.9,10.5,10.2,9.9,9.5,8.8,8.1,7.4,6.7,6.1,,5.6,5.3,5.2,5.2
Luxembourg,4.8,4.6,4.3,4.1,3.8,3.5,3.3,3.0,2.8,2.6,2.4,2.3,,2.1,2.0,2.0,1.9
"Macao SAR, China",..,..,..,..,..,..,..,..,..,..,..,..,,..,..,..,..
"Macedonia, FYR",16.0,15.2,14.5,14.2,14.0,13.7,13.2,12.5,11.8,11.0,9.9,8.6,,7.4,6.6,6.0,5.5
Madagascar,109.2,103.1,97.2,91.5,85.9,80.6,75.4,70.8,66.7,63.3,60.3,57.8,,55.5,53.4,51.5,49.6
Malawi,174.4,161.7,148.0,135.2,124.6,116.2,109.9,104.9,100.0,95.4,90.9,84.5,,77.3,71.3,66.9,64.0
Malaysia,10.2,9.4,8.9,8.5,8.3,8.2,8.1,8.0,8.0,8.0,8.0,7.9,,7.7,7.5,7.2,7.0
Maldives,44.4,39.2,34.3,29.9,28.8,22.8,20.1,17.8,16.0,14.4,13.0,11.8,,10.7,9.9,9.2,8.6
Mali,219.6,211.2,201.8,191.8,181.7,171.8,162.9,155.1,148.3,142.0,136.6,131.7,,127.0,122.7,118.3,114.7
Malta,7.8,7.5,7.3,7.2,7.0,7.0,6.9,6.8,6.8,6.8,6.7,6.7,,6.7,6.6,6.5,6.4
Marshall Islands,41.4,41.3,41.1,40.7,40.4,40.2,39.9,39.7,39.5,39.3,39.1,38.8,,38.3,37.8,37.0,36.0
Mauritania,113.5,113.1,112.9,112.4,111.4,109.8,107.9,105.5,103.0,100.4,97.8,95.4,,92.7,90.2,87.5,84.7
Mauritius,18.6,17.1,16.1,15.6,15.6,15.7,15.9,16.0,15.8,15.5,15.2,14.9,,14.6,14.3,13.9,13.5
Mexico,25.6,24.1,22.6,21.4,20.4,19.5,18.9,18.4,17.9,17.4,16.8,16.0,,15.3,14.5,13.8,13.2
"Micronesia, Fed. Sts.",53.9,52.8,51.6,50.2,48.8,47.4,45.9,44.6,43.1,42.0,40.7,39.4,,38.2,37.0,35.8,34.7
Moldova,31.3,28.3,25.4,23.0,21.1,19.7,18.7,18.1,17.7,17.4,17.2,16.9,,16.7,16.4,16.1,15.8
Monaco,5.2,5.0,4.8,4.7,4.6,4.5,4.4,4.3,4.2,4.1,4.0,3.9,,3.8,3.7,3.6,3.5
Mongolia,62.7,58.4,54.3,50.4,46.8,43.4,40.3,37.4,34.8,32.3,30.0,28.0,,26.2,24.7,23.5,22.4
Montenegro,13.8,13.2,12.6,11.9,11.1,10.4,9.6,8.9,8.1,7.4,6.8,6.2,,5.7,5.3,5.0,4.7
Morocco,50.0,47.9,45.8,43.9,42.1,40.4,38.8,37.3,35.8,34.5,33.1,31.9,,30.7,29.7,28.6,27.6
Mozambique,171.1,162.5,154.5,147.1,140.2,133.8,127.8,120.1,113.6,107.6,102.8,97.5,,90.9,85.6,81.2,78.5
Myanmar,82.3,79.9,77.5,75.2,72.8,70.5,68.1,65.8,87.2,61.4,59.3,57.2,,55.3,53.5,51.7,50.0
Namibia,75.7,76.0,75.8,75.2,73.9,71.7,68.4,64.0,60.1,56.7,53.8,51.6,,49.9,47.7,46.4,45.4
Nauru,41.2,40.3,39.5,39.0,38.8,38.7,39.0,39.3,39.7,39.7,39.4,38.8,,38.1,37.2,36.3,35.4
Nepal,80.6,75.9,71.5,67.4,63.5,60.0,56.6,53.6,50.7,48.0,45.4,43.1,,40.9,39.0,37.4,35.8
Netherlands,6.2,6.1,5.9,5.7,5.6,5.4,5.2,5.0,4.8,4.6,4.4,4.3,,4.2,4.0,3.9,3.8
New Caledonia,..,..,..,..,..,..,..,..,..,..,..,..,,..,..,..,..
New Zealand,7.4,7.2,7.0,6.9,6.7,6.6,6.5,6.4,6.4,6.3,6.2,6.1,,6.0,5.9,5.8,5.7
Nicaragua,40.3,38.3,36.4,34.7,33.2,31.7,30.4,29.2,28.1,27.1,26.1,25.2,,24.4,23.5,22.8,22.1
Niger,227.3,217.6,207.0,195.7,184.1,172.7,161.8,151.3,141.3,132.1,123.6,116.1,,109.6,104.1,99.6,95.5
Nigeria,186.8,181.3,175.6,169.9,164.1,158.1,152.2,146.4,140.9,135.5,130.3,125.5,,120.9,116.6,112.5,108.8
Northern Mariana Islands,..,..,..,..,..,..,..,..,..,..,..,..,,..,..,..,..
Norway,4.9,4.7,4.5,4.4,4.2,4.0,3.9,3.7,3.5,3.4,3.2,3.1,,3.0,2.8,2.7,2.6
Oman,16.6,15.5,14.6,13.8,13.2,12.7,12.3,12.1,11.9,11.7,11.7,11.6,,11.6,11.7,11.6,11.6
Pakistan,112.3,109.8,107.5,105.3,103.2,101.2,99.3,97.4,95.5,93.7,91.8,89.9,,87.8,85.6,83.3,81.1
Palau,26.8,25.9,25.1,24.4,23.6,22.9,22.1,21.4,20.7,20.1,19.4,18.8,,18.2,17.5,17.0,16.4
Panama,26.0,25.4,24.8,24.1,23.5,22.9,22.3,21.7,21.0,20.5,19.8,19.2,,18.7,18.1,17.6,17.0
Papua New Guinea,78.5,77.7,77.0,76.1,75.2,74.2,72.9,71.5,69.7,67.9,66.1,64.3,,62.5,60.9,59.1,57.3
Paraguay,33.5,32.5,31.5,30.4,29.4,28.4,27.5,26.6,25.7,24.9,24.1,23.3,,22.6,21.9,21.2,20.5
Peru,38.6,35.8,33.3,31.1,29.1,27.4,25.9,24.5,23.2,22.1,21.0,20.0,,19.1,18.3,17.5,16.9
Philippines,39.7,38.9,38.1,37.3,36.5,35.7,34.9,34.2,33.4,32.6,31.9,31.2,,30.4,29.6,28.8,28.0
Poland,9.3,8.8,8.4,8.1,7.8,7.6,7.3,7.0,6.7,6.2,5.8,5.5,,5.3,5.2,5.2,5.2
Portugal,7.2,6.7,6.1,5.6,5.1,4.7,4.4,4.2,4.1,4.0,3.9,3.8,,3.8,3.8,3.7,3.6
Puerto Rico,..,..,..,..,..,..,..,..,..,..,..,..,,..,..,..,..
Qatar,12.4,11.9,11.5,11.1,10.7,10.3,10.0,9.7,9.5,9.2,9.0,8.8,,8.6,8.4,8.2,8.0
Romania,26.9,25.9,24.9,23.7,22.4,20.9,19.2,17.6,16.1,14.9,13.9,13.2,,12.5,12.0,11.5,11.1
Russian Federation,23.2,22.0,20.7,19.3,18.0,16.7,15.5,14.4,13.5,12.7,12.0,11.4,,10.8,10.4,9.9,9.6
Rwanda,183.8,170.2,154.7,139.4,124.4,110.7,98.6,87.8,78.3,70.6,64.1,57.7,,52.1,47.8,44.3,41.7
Samoa,21.7,21.0,20.4,20.0,19.6,19.3,19.1,18.9,18.8,24.1,18.7,18.6,,18.5,18.2,17.9,17.5
San Marino,5.5,5.2,4.9,4.6,4.4,4.2,4.0,3.9,3.7,3.6,3.5,3.4,,3.2,3.1,3.0,2.9
Sao Tome and Principe,89.3,85.4,81.5,77.6,73.7,70.1,66.7,63.6,61.0,58.5,56.4,54.4,,52.4,50.8,49.0,47.3
Saudi Arabia,22.9,22.0,21.3,20.7,20.1,19.7,19.2,18.7,18.1,17.6,17.0,16.5,,16.0,15.5,15.0,14.5
Senegal,134.9,128.4,120.7,112.5,104.2,96.2,88.8,82.0,75.8,70.1,64.8,60.0,,55.9,52.5,49.7,47.2
Serbia,12.6,12.2,11.6,10.6,9.6,8.9,8.4,8.1,8.0,7.8,7.6,7.3,,7.1,6.9,6.8,6.7
Seychelles,14.3,14.3,14.3,14.3,14.3,14.2,14.2,14.2,14.2,14.2,14.2,14.2,,14.2,14.0,13.8,13.6
Sierra Leone,235.8,229.9,223.9,217.4,210.8,203.7,196.2,188.0,179.1,169.9,160.2,150.6,,141.6,133.4,126.4,120.4
Singapore,4.0,3.7,3.4,3.2,3.0,2.9,2.9,2.9,2.8,2.8,2.8,2.8,,2.8,2.8,2.8,2.7
Sint Maarten (Dutch part),..,..,..,..,..,..,..,..,..,..,..,..,,..,..,..,..
Slovak Republic,11.7,11.3,10.9,10.6,10.2,9.9,9.5,9.2,8.9,8.6,8.4,8.1,,7.9,7.7,7.5,7.3
Slovenia,5.5,5.2,5.0,4.7,4.5,4.3,4.0,3.8,3.6,3.5,3.3,3.1,,3.0,2.8,2.7,2.6
Solomon Islands,33.1,32.9,32.8,32.9,33.1,33.2,33.4,33.3,33.1,32.6,32.1,31.4,,30.7,29.9,28.9,28.1
Somalia,174.4,174.4,174.4,174.4,174.4,174.3,173.7,171.8,168.5,164.4,160.2,155.3,,150.6,146.1,141.2,136.8
South Africa,75.3,77.1,78.1,78.1,76.8,75.2,73.1,71.3,68.4,63.5,53.8,49.8,,47.7,43.4,41.4,40.5
South Sudan,182.3,173.0,163.8,155.2,147.0,139.3,132.1,125.7,120.0,115.2,110.9,106.7,,102.8,99.2,95.6,92.6
Spain,6.5,6.3,6.2,6.1,5.9,5.7,5.5,5.2,5.0,4.8,4.6,4.5,,4.4,4.3,4.2,4.1
Sri Lanka,16.3,15.8,15.4,15.1,28.9,14.0,13.2,12.5,11.8,11.3,10.9,10.6,,10.4,10.2,10.0,9.8
St. Kitts and Nevis,18.6,17.8,17.1,16.4,15.8,15.2,14.6,14.0,13.5,13.0,12.5,12.1,,11.7,11.3,10.9,10.5
St. Lucia,17.8,17.6,17.4,17.3,17.2,17.1,17.0,16.8,16.6,16.3,16.1,15.8,,15.4,15.1,14.7,14.3
St. Martin (French part),..,..,..,..,..,..,..,..,..,..,..,..,,..,..,..,..
St. Vincent and the Grenadines,22.2,22.1,22.0,21.9,21.8,21.8,21.7,21.6,21.4,21.1,20.8,20.3,,19.8,19.3,18.8,18.3
Sudan,105.9,103.1,100.2,97.3,94.5,91.9,89.3,87.0,84.7,82.4,80.2,78.2,,76.3,74.2,72.2,70.1
Suriname,34.4,33.3,32.1,31.1,30.1,29.2,28.3,27.4,26.4,25.6,24.9,24.1,,23.4,22.6,21.9,21.3
Swaziland,128.3,131.6,133.1,133.7,132.7,130.2,122.7,117.2,113.8,104.2,88.4,79.1,,72.6,67.6,62.6,60.7
Sweden,4.1,4.1,4.0,3.9,3.7,3.6,3.4,3.3,3.2,3.1,3.1,3.0,,3.0,3.0,3.0,3.0
Switzerland,5.6,5.6,5.5,5.3,5.2,5.1,5.0,4.8,4.7,4.6,4.5,4.4,,4.3,4.2,4.0,3.9
Syrian Arab Republic,23.4,22.3,21.4,20.5,19.6,18.8,18.0,17.3,16.5,15.9,15.3,15.0,,16.0,15.3,14.3,12.9
Tajikistan,93.0,86.6,80.4,74.6,69.5,65.2,61.5,58.6,56.2,54.3,52.6,50.9,,49.3,47.8,46.3,44.8
Tanzania,130.6,122.6,114.7,106.9,99.4,92.4,85.8,79.5,73.7,68.6,63.4,58.9,,55.7,53.3,50.5,48.7
Thailand,22.5,21.5,20.5,19.6,18.7,17.8,17.0,16.3,15.6,15.0,14.5,14.0,,13.5,13.1,12.6,12.3
Timor-Leste,110.2,104.6,99.1,93.7,88.4,83.3,78.5,74.1,70.2,66.7,63.8,61.1,,58.7,56.5,54.5,52.6
Togo,120.8,117.6,114.4,111.2,108.1,105.1,102.1,99.2,96.4,93.6,90.9,88.3,,85.8,83.3,80.8,78.4
Tonga,17.6,17.3,17.0,16.8,16.7,16.7,16.7,16.8,17.0,17.2,17.4,17.5,,17.5,17.3,17.1,16.7
Trinidad and Tobago,28.7,28.6,28.3,28.0,27.5,26.9,26.3,25.6,24.9,24.3,23.6,22.9,,22.2,21.5,20.9,20.4
Tunisia,31.7,29.6,27.8,26.0,24.5,23.0,21.7,20.5,19.4,18.3,17.4,16.5,,15.8,15.2,14.6,14.0
Turkey,39.6,36.9,34.4,32.0,29.7,27.7,25.7,23.9,22.2,20.6,19.1,17.8,,16.5,15.4,14.3,13.5
Turkmenistan,81.6,79.2,76.9,74.7,72.4,70.1,68.0,66.0,63.9,61.9,60.1,58.2,,56.5,54.7,53.1,51.4
Turks and Caicos Islands,..,..,..,..,..,..,..,..,..,..,..,..,,..,..,..,..
Tuvalu,42.6,41.1,39.8,38.7,37.6,36.6,35.6,34.6,33.6,32.6,31.7,30.7,,29.8,28.9,28.0,27.1
Uganda,148.4,141.0,132.8,124.2,115.6,107.4,99.7,92.5,85.9,80.1,75.2,69.8,,64.1,60.3,56.9,54.6
Ukraine,18.5,17.6,16.7,15.9,15.1,14.5,14.0,13.4,12.9,12.3,11.8,11.2,,10.6,10.0,9.5,9.0
